# step res_l2 res_l2_check diff
382 2.587657e-06 2.587657e-06 0.000000e+00
383 2.583736e-06 2.583736e-06 0.000000e+00
384 2.579825e-06 2.579825e-06 0.000000e+00
385 2.568052e-06 2.568052e-06 0.000000e+00
386 2.564183e-06 2.564183e-06 0.000000e+00
387 2.560325e-06 2.560325e-06 0.000000e+00
388 2.556476e-06 2.556476e-06 0.000000e+00
389 2.552638e-06 2.552638e-06 0.000000e+00
390 2.541108e-06 2.541108e-06 0.000000e+00
391 2.537310e-06 2.537310e-06 0.000000e+00
392 2.533522e-06 2.533522e-06 0.000000e+00
393 2.529743e-06 2.529743e-06 0.000000e+00
394 2.525973e-06 2.525973e-06 0.000000e+00
395 2.514669e-06 2.514669e-06 0.000000e+00
396 2.510938e-06 2.510938e-06 0.000000e+00
397 2.507216e-06 2.507216e-06 0.000000e+00
398 2.503503e-06 2.503503e-06 0.000000e+00
399 2.499799e-06 2.499799e-06 0.000000e+00
400 2.488705e-06 2.488705e-06 0.000000e+00
401 2.485038e-06 2.485038e-06 0.000000e+00
402 2.481380e-06 2.481380e-06 0.000000e+00
403 2.477731e-06 2.477731e-06 0.000000e+00
404 2.474090e-06 2.474090e-06 0.000000e+00
405 2.463194e-06 2.463194e-06 0.000000e+00
406 2.459589e-06 2.459589e-06 0.000000e+00
407 2.455992e-06 2.455992e-06 0.000000e+00
408 2.452403e-06 2.452403e-06 0.000000e+00
409 2.448823e-06 2.448823e-06 0.000000e+00
410 2.438114e-06 2.438114e-06 0.000000e+00
411 2.434568e-06 2.434568e-06 0.000000e+00
412 2.431030e-06 2.431030e-06 0.000000e+00
413 2.427500e-06 2.427500e-06 0.000000e+00
414 2.423978e-06 2.423978e-06 0.000000e+00
415 2.413448e-06 2.413448e-06 0.000000e+00
416 2.409958e-06 2.409958e-06 0.000000e+00
417 2.406477e-06 2.406477e-06 0.000000e+00
418 2.403003e-06 2.403003e-06 0.000000e+00
419 2.399538e-06 2.399538e-06 0.000000e+00
420 2.389178e-06 2.389178e-06 0.000000e+00
421 2.385744e-06 2.385744e-06 0.000000e+00
422 2.382317e-06 2.382317e-06 0.000000e+00
423 2.378898e-06 2.378898e-06 0.000000e+00
424 2.375486e-06 2.375486e-06 0.000000e+00
425 2.365290e-06 2.365290e-06 0.000000e+00
426 2.361909e-06 2.361909e-06 0.000000e+00
427 2.358535e-06 2.358535e-06 0.000000e+00
428 2.355168e-06 2.355168e-06 0.000000e+00
429 2.351809e-06 2.351809e-06 0.000000e+00
430 2.341770e-06 2.341770e-06 0.000000e+00
431 2.338440e-06 2.338440e-06 0.000000e+00
432 2.335117e-06 2.335117e-06 0.000000e+00
433 2.331801e-06 2.331801e-06 0.000000e+00
434 2.328492e-06 2.328492e-06 0.000000e+00
435 2.318606e-06 2.318606e-06 0.000000e+00
436 2.315325e-06 2.315325e-06 0.000000e+00
437 2.312052e-06 2.312052e-06 0.000000e+00
438 2.308785e-06 2.308785e-06 0.000000e+00
439 2.305525e-06 2.305525e-06 0.000000e+00
440 2.295785e-06 2.295785e-06 0.000000e+00
441 2.292553e-06 2.292553e-06 0.000000e+00
442 2.289327e-06 2.289327e-06 0.000000e+00
443 2.286108e-06 2.286108e-06 0.000000e+00
444 2.282895e-06 2.282895e-06 0.000000e+00
445 2.273297e-06 2.273297e-06 0.000000e+00
446 2.270111e-06 2.270111e-06 0.000000e+00
447 2.266932e-06 2.266932e-06 0.000000e+00
448 2.263759e-06 2.263759e-06 0.000000e+00
449 2.260592e-06 2.260592e-06 0.000000e+00
450 2.251131e-06 2.251131e-06 0.000000e+00
451 2.247991e-06 2.247991e-06 0.000000e+00
452 2.244856e-06 2.244856e-06 0.000000e+00
453 2.241728e-06 2.241728e-06 0.000000e+00
454 2.238606e-06 2.238606e-06 0.000000e+00
455 2.229278e-06 2.229278e-06 0.000000e+00
456 2.226181e-06 2.226181e-06 0.000000e+00
457 2.223091e-06 2.223091e-06 0.000000e+00
458 2.220006e-06 2.220006e-06 0.000000e+00
459 2.216927e-06 2.216927e-06 0.000000e+00
460 2.207728e-06 2.207728e-06 0.000000e+00
461 2.204674e-06 2.204674e-06 0.000000e+00
462 2.201626e-06 2.201626e-06 0.000000e+00
463 2.198583e-06 2.198583e-06 0.000000e+00
464 2.195547e-06 2.195547e-06 0.000000e+00
465 2.186473e-06 2.186473e-06 0.000000e+00
466 2.183460e-06 2.183460e-06 0.000000e+00
467 2.180453e-06 2.180453e-06 0.000000e+00
468 2.177451e-06 2.177451e-06 0.000000e+00
469 2.174456e-06 2.174456e-06 0.000000e+00
470 2.165504e-06 2.165504e-06 0.000000e+00
471 2.162531e-06 2.162531e-06 0.000000e+00
472 2.159564e-06 2.159564e-06 0.000000e+00
473 2.156603e-06 2.156603e-06 0.000000e+00
474 2.153647e-06 2.153647e-06 0.000000e+00
475 2.144813e-06 2.144813e-06 0.000000e+00
476 2.141880e-06 2.141880e-06 0.000000e+00
477 2.138952e-06 2.138952e-06 0.000000e+00
478 2.136029e-06 2.136029e-06 0.000000e+00
479 2.133112e-06 2.133112e-06 0.000000e+00
480 2.124394e-06 2.124394e-06 0.000000e+00
481 2.121498e-06 2.121498e-06 0.000000e+00
482 2.118608e-06 2.118608e-06 0.000000e+00
483 2.115723e-06 2.115723e-06 0.000000e+00
484 2.112843e-06 2.112843e-06 0.000000e+00
485 2.104237e-06 2.104237e-06 0.000000e+00
486 2.101379e-06 2.101379e-06 0.000000e+00
487 2.098526e-06 2.098526e-06 0.000000e+00
488 2.095678e-06 2.095678e-06 0.000000e+00
489 2.092835e-06 2.092835e-06 0.000000e+00
490 2.084338e-06 2.084338e-06 0.000000e+00
491 2.081516e-06 2.081516e-06 0.000000e+00
492 2.078699e-06 2.078699e-06 0.000000e+00
493 2.075887e-06 2.075887e-06 0.000000e+00
494 2.073079e-06 2.073079e-06 0.000000e+00
495 2.064689e-06 2.064689e-06 0.000000e+00
496 2.061902e-06 2.061902e-06 0.000000e+00
497 2.059120e-06 2.059120e-06 0.000000e+00
498 2.056343e-06 2.056343e-06 0.000000e+00
499 2.053571e-06 2.053571e-06 0.000000e+00
500 2.045284e-06 2.045284e-06 0.000000e+00
501 2.042532e-06 2.042532e-06 0.000000e+00
502 2.039784e-06 2.039784e-06 0.000000e+00
503 2.037041e-06 2.037041e-06 0.000000e+00
504 2.034303e-06 2.034303e-06 0.000000e+00
505 2.026118e-06 2.026118e-06 0.000000e+00
506 2.023399e-06 2.023399e-06 0.000000e+00
507 2.020684e-06 2.020684e-06 0.000000e+00
508 2.017975e-06 2.017975e-06 0.000000e+00
509 2.015270e-06 2.015270e-06 0.000000e+00
510 2.007184e-06 2.007184e-06 0.000000e+00
511 2.004497e-06 2.004497e-06 0.000000e+00
512 2.001816e-06 2.001816e-06 0.000000e+00
513 1.999138e-06 1.999138e-06 0.000000e+00
514 1.996466e-06 1.996466e-06 0.000000e+00
515 1.988477e-06 1.988477e-06 0.000000e+00
516 1.985822e-06 1.985822e-06 0.000000e+00
517 1.983172e-06 1.983172e-06 0.000000e+00
518 1.980527e-06 1.980527e-06 0.000000e+00
519 1.977886e-06 1.977886e-06 0.000000e+00
520 1.969991e-06 1.969991e-06 0.000000e+00
521 1.967368e-06 1.967368e-06 0.000000e+00
522 1.964749e-06 1.964749e-06 0.000000e+00
523 1.962135e-06 1.962135e-06 0.000000e+00
524 1.959525e-06 1.959525e-06 0.000000e+00
525 1.951723e-06 1.951723e-06 0.000000e+00
526 1.949130e-06 1.949130e-06 0.000000e+00
527 1.946542e-06 1.946542e-06 0.000000e+00
528 1.943958e-06 1.943958e-06 0.000000e+00
529 1.941379e-06 1.941379e-06 0.000000e+00
530 1.933666e-06 1.933666e-06 0.000000e+00
531 1.931104e-06 1.931104e-06 0.000000e+00
532 1.928545e-06 1.928545e-06 0.000000e+00
533 1.925991e-06 1.925991e-06 0.000000e+00
534 1.923441e-06 1.923441e-06 0.000000e+00
