# level nx ny res_l2
1 64 64 1.810966e-02
2 32 32 1.045502e-03
3 16 16 3.325473e-04
4 8 8 8.239290e-05
1 64 64 1.787819e-02
2 32 32 8.995706e-04
3 16 16 2.861302e-04
4 8 8 7.089244e-05
1 64 64 1.766554e-02
2 32 32 7.740081e-04
3 16 16 2.461920e-04
4 8 8 6.099723e-05
1 64 64 1.746751e-02
2 32 32 6.659717e-04
3 16 16 2.118284e-04
4 8 8 5.248320e-05
1 64 64 1.728093e-02
2 32 32 5.730151e-04
3 16 16 1.822613e-04
4 8 8 4.515756e-05
1 64 64 1.710339e-02
2 32 32 4.930334e-04
3 16 16 1.568212e-04
4 8 8 3.885444e-05
1 64 64 1.693307e-02
2 32 32 4.242156e-04
3 16 16 1.349320e-04
4 8 8 3.343111e-05
1 64 64 1.676859e-02
2 32 32 3.650034e-04
3 16 16 1.160981e-04
4 8 8 2.876478e-05
1 64 64 1.660893e-02
2 32 32 3.140561e-04
3 16 16 9.989308e-05
4 8 8 2.474978e-05
1 64 64 1.645328e-02
2 32 32 2.702200e-04
3 16 16 8.594996e-05
4 8 8 2.129519e-05
1 64 64 1.630105e-02
2 32 32 2.325026e-04
3 16 16 7.395302e-05
4 8 8 1.832279e-05
1 64 64 1.615178e-02
2 32 32 2.000499e-04
3 16 16 6.363063e-05
4 8 8 1.576529e-05
1 64 64 1.600511e-02
2 32 32 1.721269e-04
3 16 16 5.474903e-05
4 8 8 1.356476e-05
1 64 64 1.586079e-02
2 32 32 1.481014e-04
3 16 16 4.710714e-05
4 8 8 1.167139e-05
1 64 64 1.571858e-02
2 32 32 1.274295e-04
3 16 16 4.053190e-05
4 8 8 1.004229e-05
1 64 64 1.557834e-02
2 32 32 1.096429e-04
3 16 16 3.487444e-05
4 8 8 8.640582e-06
1 64 64 1.543993e-02
2 32 32 9.433903e-05
3 16 16 3.000666e-05
4 8 8 7.434526e-06
1 64 64 1.530324e-02
2 32 32 8.117129e-05
3 16 16 2.581831e-05
4 8 8 6.396812e-06
1 64 64 1.516818e-02
2 32 32 6.984153e-05
3 16 16 2.221458e-05
4 8 8 5.503943e-06
1 64 64 1.503470e-02
2 32 32 6.009320e-05
3 16 16 1.911387e-05
4 8 8 4.735701e-06
1 64 64 1.490272e-02
2 32 32 5.170557e-05
3 16 16 1.644595e-05
4 8 8 4.074691e-06
1 64 64 1.477221e-02
2 32 32 4.448872e-05
3 16 16 1.415042e-05
4 8 8 3.505945e-06
1 64 64 1.464310e-02
2 32 32 3.827924e-05
3 16 16 1.217530e-05
4 8 8 3.016584e-06
1 64 64 1.451538e-02
2 32 32 3.293651e-05
3 16 16 1.047587e-05
4 8 8 2.595529e-06
1 64 64 1.438899e-02
2 32 32 2.833957e-05
3 16 16 9.013646e-06
4 8 8 2.233245e-06
1 64 64 1.426392e-02
2 32 32 2.438431e-05
3 16 16 7.755522e-06
4 8 8 1.921529e-06
1 64 64 1.414013e-02
2 32 32 2.098118e-05
3 16 16 6.673007e-06
4 8 8 1.653322e-06
1 64 64 1.401760e-02
2 32 32 1.805313e-05
3 16 16 5.741591e-06
4 8 8 1.422552e-06
1 64 64 1.389630e-02
2 32 32 1.553384e-05
3 16 16 4.940183e-06
4 8 8 1.223993e-06
1 64 64 1.377622e-02
2 32 32 1.336627e-05
3 16 16 4.250636e-06
4 8 8 1.053148e-06
1 64 64 1.365732e-02
2 32 32 1.150134e-05
3 16 16 3.657338e-06
4 8 8 9.061506e-07
1 64 64 1.353959e-02
2 32 32 9.896812e-06
3 16 16 3.146852e-06
