# level nx ny res_l2_norm
3 16 16 9.139652e-06
4 8 8 3.102379e-06
1 64 64 7.301082e-05
2 32 32 2.571373e-05
3 16 16 8.986474e-06
4 8 8 3.050383e-06
1 64 64 7.178718e-05
2 32 32 2.528277e-05
3 16 16 8.835863e-06
4 8 8 2.999259e-06
1 64 64 7.058405e-05
2 32 32 2.485904e-05
3 16 16 8.687776e-06
4 8 8 2.948992e-06
1 64 64 6.940108e-05
2 32 32 2.444241e-05
3 16 16 8.542171e-06
4 8 8 2.899568e-06
1 64 64 6.823794e-05
2 32 32 2.403276e-05
3 16 16 8.399007e-06
4 8 8 2.850971e-06
1 64 64 6.709429e-05
2 32 32 2.362998e-05
3 16 16 8.258242e-06
4 8 8 2.803190e-06
1 64 64 6.596981e-05
2 32 32 2.323395e-05
3 16 16 8.119836e-06
4 8 8 2.756209e-06
1 64 64 6.486418e-05
2 32 32 2.284455e-05
3 16 16 7.983750e-06
4 8 8 2.710015e-06
1 64 64 6.377707e-05
2 32 32 2.246169e-05
3 16 16 7.849944e-06
4 8 8 2.664596e-06
1 64 64 6.270819e-05
2 32 32 2.208523e-05
3 16 16 7.718381e-06
4 8 8 2.619938e-06
1 64 64 6.165722e-05
2 32 32 2.171509e-05
3 16 16 7.589024e-06
4 8 8 2.576028e-06
1 64 64 6.062386e-05
2 32 32 2.135115e-05
3 16 16 7.461834e-06
4 8 8 2.532854e-06
1 64 64 5.960782e-05
2 32 32 2.099331e-05
3 16 16 7.336775e-06
4 8 8 2.490404e-06
1 64 64 5.860881e-05
2 32 32 2.064147e-05
3 16 16 7.213813e-06
4 8 8 2.448666e-06
1 64 64 5.762654e-05
2 32 32 2.029553e-05
3 16 16 7.092911e-06
4 8 8 2.407627e-06
1 64 64 5.666074e-05
2 32 32 1.995538e-05
3 16 16 6.974036e-06
